Restaurant;Type de restaurant;Catégorie du restaurant;Adresse;Code postal;Commune;Code Insee de la Commune;latitude;longitude;Conctact-téléphone-fixe;Adresse e-Mail;Url du site web;Plateforme/url.;Animal_accepté;Service(s) proposé(s) sur l'équipement;Langue(s) parlée(s) à l'accueil;Horaires d'ouvertures;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
Guinguette Le Quai des Brunes;Restaurant;Guinguette;Quai du Marronnier sur l'île d’Offard;49400;SAUMUR;49328;47.259413;-0.066359;07 83 49 96 86;lequaidesbrunes@sophonie.fr;;;oui;Chaise haute / Réhausseur,Service en terrasse;Français;10/05/2024||30/09/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires;47.259413, -0.066359;Maine-et-Loire
GWAIEN;Restaurant;Général;63 rue de Bel Air;44100;NANTES;44109;47.2241997;-1.5593216;02 55 11 19 82;;;Facebook||https://www.facebook.com/Gwaiennantes;oui;;Tout;;;Tout;47.2241997, -1.5593216;Loire-Atlantique
HOB CAFE;Restaurant;Salon de thé;37 Avenue du Général de Gaulle;44600;SAINT-NAZAIRE;44184;47.27392;-2.2123;;contact@hobcafe.fr;https://hobcafe.fr/;Instagram||https://www.instagram.com/hob_cafe44/;oui;;Français;01/01/2024||31/12/2024||Ouvert du mercredi au dimanche||Fermé le lundi et mardi||||||||||||||||||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00||09:30||||||18:00;;Tout;47.27392, -2.2123;Loire-Atlantique
Hot Wok;Restaurant;Général;44 route de La Baule;44350;GUERANDE;44069;47.29326;-2.39561;02 40 22 20 31;wangywang78@gmail.com;http://www.hot-wok.fr;;oui;;Tout;;;Cartes bancaires,Chèques Vacances,Espèces;47.29326, -2.39561;Loire-Atlantique
INSÒLITOS RESTAURANT PORTUGAIS;Restaurant;Cuisine du Monde;22 bis Rue Vincent Auriol;44600;SAINT-NAZAIRE;44184;47.2727004;-2.2063447;;rpinsolitos@gmail.com;;Facebook||https://www.facebook.com/pg/Restaurant-Portugais-Insòlitos-110570106948036/;oui;Plats à emporter,Service en terrasse;Tout;01/01/2024||31/12/2024||Ouvert du mardi au dimanche midi||Fermé le lundi et le dimanche soir||||||||||||||||||||||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||||;"Menu adulte du jour (midi en semaine)||16,00||18,50|| ; Menu enfant||6,50||||";Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.2727004, -2.2063447;Loire-Atlantique
KA COFFEE SHOP;Restaurant;Coffee-shop;10 avenue de la République;44600;SAINT-NAZAIRE;44184;47.2751083;-2.2131957;02 40 45 62 81;kacoffeeshop@gmail.com;https://www.kacoffeeshop-saintnazaire.fr;Facebook||https://www.facebook.com/kacoffeeshop/;oui;Climatisation,Plats à emporter,WiFi;Anglais,Français;01/01/2024||31/12/2024||Ouvert du lundi au samedi||Fermé le dimanche||08:30||||||17:55||08:30||14:00||||||08:30||||||17:55||08:30||||||17:55||09:09||||||17:55||10:10||||||17:55||||||||;Menu adulte du jour (midi en semaine)||5,00||8,00||;Cartes bancaires,Espèces,Tickets Restaurant;47.2751083, -2.2131957;Loire-Atlantique
L'Albatros;Restaurant;Cuisine traditionnelle;Avenue Scalby Newby;44210;PORNIC;44131;47.12057;-2.11988;02 40 82 06 69;golfalbatros@hotmail.com;;;oui;Séminaire,WiFi;Tout;;;Cartes bancaires,Espèces;47.12057, -2.11988;Loire-Atlantique
L'AQUARIUS;Restaurant;Cuisine traditionnelle;58 Rue des Frères Templé;44520;LA MEILLERAYE-DE-BRETAGNE;44095;47.55884;-1.40228;02 28 04 08 49;laquariusrestaurant@gmail.com;;;oui;;Anglais;||||Ouvert du lundi au vendredi de 10h à 15h et le vendredi de 18h à 23h. Groupes sur réservation en semaine et week-end||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Menu adulte du jour (midi en semaine)||13,00||15,00||;Tout;47.55884, -1.40228;Loire-Atlantique
L'ARCHIPEL;Restaurant;Cuisine traditionnelle;4 rue Francois Clouet;44240;LA CHAPELLE-SUR-ERDRE;44035;47.2998742;-1.5500024;02 40 72 00 60;;;Facebook||http://www.facebook.com/restaurantlarchipel;oui;Plats à emporter,Service en terrasse,Traiteur;Tout;||||||||||||||||12:00||14:00||||||12:00||14:00||19:30||20:30||12:00||14:00||19:30||20:30||12:00||14:00||19:30||21:00||12:00||13:30||19:30||21:00||||||||;"Menu adulte du jour (midi en semaine)||||||E+P ou P+D 20€ en semaine midi ; Menu adulte soir et week-end||||||soir semaine: mercredi et jeudi 32€ - E+P+D";Cartes bancaires,Espèces,Tickets Restaurant;47.2998742, -1.5500024;Loire-Atlantique
L'ARLEQUIN;Restaurant;Pizzeria;41 rue de la Libération;44110;CHATEAUBRIANT;44036;47.7127305;-1.3794308;02 40 81 85 75;;https://www.facebook.com/p/L-Arlequin-100063644586677/?locale=fr_FR&paipv=0&eav=AfbTDZNFjDfrgwr5c2FvwkEA_yi6J9f1qNVfmtocxyoecNlcVAS-4glOLgOU-K7aOqA&_rdr;;oui;Plats à emporter,Service en terrasse;Tout;||||||fermé le mercredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Menu adulte du jour (midi en semaine)||10,00||22,00||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.7127305, -1.3794308;Loire-Atlantique
L'Atelier;Restaurant;Cuisine traditionnelle;Rue de la Noue Fleurie;44760;LA BERNERIE-EN-RETZ;44012;47.08662;-2.03492;02 51 74 60 06;contact@domaine-de-la-gressiere.com;http://www.lagressiere.com;;non;Banquet,Séminaire,Traiteur,WiFi;Tout;;;Cartes bancaires,Espèces,Tickets Restaurant;47.08662, -2.03492;Loire-Atlantique
L'Atelier Gourmet - Restaurant-traiteur;Restaurant;Général;103 avenue des Noëlles;44500;LA BAULE-ESCOUBLAC;44055;47.29583;-2.38813;07 68 82 08 65;contact@ateliergourmet.fr;http://www.ateliergourmet.fr;;oui;;Tout;;;Tout;47.29583, -2.38813;Loire-Atlantique
L'AUBERGE ARMORICAINE;Hôtel restaurant;Cuisine traditionnelle;4 place de l'Eglise;44110;LOUISFERT;44085;47.67481;-1.4330509;02 28 04 07 67;contact@auberge-armoricaine.fr;https://auberge-armoricaine.fr/;;non;Banquet,WiFi;Anglais,Espagnol;||||Ouvert tous les midis du lundi au vendredi (sur réservation le week-end)||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Menu adulte du jour (midi en semaine)||15,50||||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.67481, -1.4330509;Loire-Atlantique
L'AUBERGE DE BEAUFORT;Restaurant;Cuisine traditionnelle;15 rue Bourguillaume;49250;BEAUFORT-EN-ANJOU;49021;47.4397927;-0.2133459;02 41 80 38 38;lauberge.de.beaufort@gmail.com;;Tripadvisor|| ;oui;;Tout;01/01/2024||31/12/2024||||Fermé du 5 au 13/05||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||||||||;Menu adulte du jour (midi en semaine)||14,00||||;Tout;47.4397927, -0.2133459;Maine-et-Loire
L'Auberge du Pays de Retz;Restaurant;Cuisine traditionnelle;Rue du grand Pré;44710;PORT-SAINT-PERE;44133;47.13092;-1.74202;02 40 04 84 84;contact@aubergedupaysderetz.fr;http://www.auberge-pays-retz.fr/#restaurant;;oui;Banquet,Plats à emporter,Séminaire,Traiteur,WiFi;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.13092, -1.74202;Loire-Atlantique
L'ENDROIT;Restaurant;Cuisine traditionnelle;1 Place Saint Pierre;72600;SAINT-LONGIS;72295;48.3555723;0.34764076;02 43 34 01 71;lendroit72@gmail.com;;;oui;WiFi;Tout;||||||Fermé le samedi et le dimanche||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces;48.3555723, 0.34764076;Sarthe
L'ENTREPÔT 16;Restaurant;Bistrot / bar à vin;16 Rue de la Communauté;44860;PONT-SAINT-MARTIN;44130;47.11165;-1.54267;06 31 80 89 18;boiteapintes@yahoo.com;;;oui;;Tout;01/01/2024||31/12/2024||Du lundi au vendredi les midis ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.11165, -1.54267;Loire-Atlantique
L'Esperanza;Restaurant;Pizzeria;6 bis rue Georges Clémenceau;44760;LA BERNERIE-EN-RETZ;44012;47.08074;-2.0378;02 40 82 75 54;laetitia.nicolas8@sfr.fr;;;oui;;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.08074, -2.0378;Loire-Atlantique
L'Hoirie;Restaurant;Restaurant gastronomique - cuisine raffinée;Allée Henri Faris;49070;BEAUCOUZE;49020;47.46914;-0.61896;02 41 72 06 09;lhoirie@restaurant-lhoirie.fr;http://www.restaurant-lhoirie.com;Facebook||https://fr-fr.facebook.com/Lhoirie-127414027341192/;oui;Chaise haute / Réhausseur,Climatisation,Service en terrasse,Table à langer;Français;"01/01/2019||31/12/2019||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30|||| ; 02/06/2020||29/10/2020||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30|||| ; 01/01/2022||31/12/2022||||||||||||||12:00||13:30||19:15||21:30||12:00||13:30||19:15||21:30||12:00||13:30||19:15||21:30||12:00||13:30||19:15||21:30||12:00||13:30||19:15||21:30||12:00||13:30|||| ; 10/01/2023||31/12/2023||||||||||||||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||19:00||21:30||12:00||13:30||||";;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.46914, -0.61896;Maine-et-Loire
L'OLIVIER;Restaurant;Pizzeria;16 rue des Halles;44600;SAINT-NAZAIRE;44184;47.2758923;-2.2159353;02 40 15 59 08;lolivier.matkil@hotmail.com;https://lolivier-st-nazaire.eatbu.com/?lang=fr;Facebook||https://www.facebook.com/PizzeriaLOlivier/;oui;;Anglais,Français;01/01/2024||31/12/2024||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||10:00||14:00||19:00||23:00||10:00||14:00||19:00||23:00||10:00||14:00||19:00||23:00||09:00||14:00||19:00||23:00||10:00||14:00||19:00||23:00||||||||;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.2758923, -2.2159353;Loire-Atlantique
L'OLIVIER  BAR-BRASSERIE;Restaurant;Brasserie;7 Place George Washington;72000;LE MANS;72181;47.995888;0.202905;02 43 41 49 26;;https://bar-brasserie-lolivier.business.site/;Facebook||https://www.facebook.com/barbrasserielolivier;oui;Plats à emporter;Tout;;;Cartes bancaires,Espèces,Tickets Restaurant;47.995888, 0.202905;Sarthe
L'Orée Restaurant;Hôtel restaurant;Restaurant gastronomique - cuisine raffinée;2 rue Saumuroise;49390;LA BREILLE-LES-PINS;49045;47.341229;0.075459;02 41 38 85 45;restaurant.loreedesbois@orange.fr;https://www.hotel-restaurant-loreedesbois.fr;Facebook||https://www.facebook.com/loreedesbois49/ ;oui;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse,WiFi;Anglais,Français;"01/01/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2025||31/12/2025||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";"Plats à la carte||10,00||21,00|| ; Menu enfant||13,50||16,50|| ; Menu adulte du jour (midi en semaine)||16,50||30,00||menu du jour en semaine;menu du marché tous les jours";Tout;47.341229, 0.075459;Maine-et-Loire
LA BARA-K;Restaurant;Restauration rapide;Boulevard Albert 1er;44600;SAINT-NAZAIRE;44184;47.2625028;-2.2250768;;atlashama@free.fr;;Facebook||https://www.facebook.com/KiosqueLaBaraK/;oui;;Tout;22/05/2024||03/09/2024||Ouverture en fonction de la météo||Ouverture en fonction de la météo||09:00||||||23:30||09:00||||||23:30||09:00||||||23:30||09:00||||||23:30||09:00||||||23:30||09:00||||||23:30||09:00||||||23:30;;Tout;47.2625028, -2.2250768;Loire-Atlantique
La Baraque;Restaurant;Cuisine traditionnelle;58 Rue de Paris;72160;CONNERRE;72090;48.0611291;0.4981863;02 43 81 66 35;;;;oui;;Tout;||||||||||||||||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:30||12:00||14:00||19:00||22:30||||||||;;Tout;48.0611291, 0.4981863;Sarthe
LA BODEGUITA;Restaurant;Cuisine traditionnelle;7 rue du Bois Savary;44600;SAINT-NAZAIRE;44184;47.2746387;-2.2071185;02 40 53 11 54;;;;oui;;Français;01/01/2024||31/12/2024||Ouvert du mardi au samedi||Fermé le dimanche et lundi||||||||||||||18:00||00:00||||||||||||||18:00||00:00||||||18:00||01:00||||||18:00||01:00||||||||;;Tout;47.2746387, -2.2071185;Loire-Atlantique
La Boite à Pizza;Restaurant;Pizzeria;190 avenue de Lattre de Tassigny;44500;LA BAULE-ESCOUBLAC;44055;47.28598;-2.39555;02 40 23 16 16;ikenirab@gmail.com;http://www.laboiteapizza.com;;oui;;Anglais,Espagnol;;;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.28598, -2.39555;Loire-Atlantique
La Boucherie - Angers;Restaurant;Brasserie;48 A boulevard Foch;49100;ANGERS;49007;47.46745;-0.55212;02 41 25 39 25;angers@la-boucherie.fr;;;oui;Chaise haute / Réhausseur,Climatisation,Service en terrasse,WiFi;Anglais,Français;"19/05/2021||31/12/2021||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30 ; 01/01/2022||31/12/2022||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30 ; 01/01/2023||31/12/2023||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||23:00||12:00||15:00||19:00||23:00||12:00||15:00||19:00||22:30";;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.46745, -0.55212;Maine-et-Loire
La Boule d'Or;Restaurant;Cuisine traditionnelle;56 rue Joachim du Bellay;49690;CORON;49109;47.12721;-0.64547;02 41 49 07 30;labouledor-coron@orange.fr;;;oui;;Français;;;Tout;47.12721, -0.64547;Maine-et-Loire
La Cabana Saint-Michel;Restaurant;Général;Port Saint-Michel;44740;BATZ-SUR-MER;44010;47.27394;-2.48133;06 41 17 29 19;sam.cappelier@gmail.com;;;oui;Service en terrasse;Tout;;;Cartes bancaires,Espèces;47.27394, -2.48133;Loire-Atlantique
La Cabane du Bosquet;Restaurant;Restaurant gastronomique - cuisine raffinée;2 rue Maurice Berne;49130;LES PONTS-DE-CE;49246;47.41;-0.5249;02 41 57 72 42;contact@le-bosquet.com;http://www.le-bosquet.com;Facebook||https://www.facebook.com/restaurantlebosquet/ ;oui;Chaise haute / Réhausseur,Service en terrasse,Table à langer,WiFi;Anglais,Français;"01/06/2023||31/08/2023||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00|||||||||||| ; 10/06/2024||30/09/2024||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||12:00||21:00||||||||||||";;Cartes bancaires,Chèques bancaires et postaux,Espèces,Virement;47.41, -0.5249;Maine-et-Loire
LA CACHETTE;Restaurant;Général;2 rue du Refuge;44100;NANTES;44109;47.2187145;-1.5521949;02 40 47 42 91;;;;oui;;Tout;;;Tout;47.2187145, -1.5521949;Loire-Atlantique
La Cale 34;Restaurant;Crêperie;13 Rue de l'Eglise;49123;INGRANDES-LE FRESNE SUR LOIRE;49160;47.4022934;-0.921591;;;;Facebook||https://www.facebook.com/Cr%C3%AAperie-CALE-34-100661098556442 ;oui;Chaise haute / Réhausseur,Service en terrasse,Table à langer,WiFi;Anglais,Français;||||||||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||15:00||18:00||22:00||11:00||||||22:00||11:00||||||22:00||11:00||||||22:00;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.4022934, -0.921591;Maine-et-Loire
La Cantine de l'îlot;Restaurant;Cuisine traditionnelle;1 bis boulevard des Nations Unies;44770;LA PLAINE-SUR-MER;44126;47.13899;-2.19086;02 40 64 27 13;lacantinedelilot@orange.fr;https://cath-mariot.wixsite.com/la-cantine-de-l-ilot;;oui;Banquet,Plats à emporter,WiFi;Tout;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.13899, -2.19086;Loire-Atlantique
LA CANTINE DU JARDIN;Restaurant;Restauration rapide;36 Avenue Albert de Mun;44600;SAINT-NAZAIRE;44184;47.2784075;-2.2092834;;contact@lejardin-sn.fr;www.lejardin-sn.fr;Facebook||https://www.facebook.com/lejardinsaintnazaire;non;Plats à emporter,Séminaire,Service en terrasse,Traiteur,WiFi;Anglais,Français;01/01/2024||31/12/2024||Ouvert du lundi au vendredi||Fermé le samedi et dimanche||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||10:00||||||18:00||||||||||||||||;Plats à la carte||8,00||9,00||;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.2784075, -2.2092834;Loire-Atlantique
La Cantine du Tipi;Restaurant;Guinguette;Z.I. des Relandières nord;44850;LE CELLIER;44028;47.316902;-1.370148;;;https://www.helloasso.com/associations/tipi-tiers-lieu-solidaire/adhesions/adhesion-annuelle-tipi-2024;Instagram||https://www.instagram.com/tipi.tiers.lieu/ ;oui;;Tout;;;Tout;47.316902, -1.370148;Loire-Atlantique
La Casa Della Pizza;Général;Pizzeria;21 Rue des Déportés;53000;LAVAL;53130;48.06991;-0.77288;02 43 53 10 65;casadellapizza.laval@gmail.com;;;oui;;Tout;||||||||||||||||09:30||13:30||15:00||19:15||09:30||13:30||15:00||19:15||09:30||13:30||15:00||19:15||09:30||13:30||15:00||19:15||09:30||13:30||15:00||19:15||||||||;;Tout;48.06991, -0.77288;Mayenne
La cocotte du chaudron;Restaurant;Cuisine traditionnelle;ZAC de la Chaussée;44210;PORNIC;44131;47.11238;-2.07492;02 51 74 25 14;lcdc.ksa@outlook.com;;;oui;;Tout;;;Tout;47.11238, -2.07492;Loire-Atlantique
La Corévatine;Général;Cuisine traditionnelle;25 Rue du 11 Novembre;53940;SAINT-BERTHEVIN;53201;48.06724;-0.82491;02 43 69 12 88;corevatine@gmail.com;https://www.lacorevatine.com/;Facebook||https://www.facebook.com/lacorevatinetraiteur;oui;Traiteur;Tout;||||||||||||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||||||||;;Tout;48.06724, -0.82491;Mayenne
La Costa d'Amore;Restaurant;Pizzeria;12 rue de la Marine;44490;LE CROISIC;44049;47.29348;-2.50972;02 40 60 48 60;lacostadamore@gmail.com;https://lacostadamore.metro.rest/?lang=fr;;oui;Service en terrasse;Anglais,Italien;||||||||12:00||14:30||19:00||22:30||||||||||||||||||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30||12:00||14:30||19:00||22:30;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.29348, -2.50972;Loire-Atlantique
La Cour;Restaurant;Général;23 rue de la Roë;49100;ANGERS;49007;47.47286;-0.55313;02 41 96 05 88;contact@lacour-angers.com;https://www.lacour-angers.com/;Facebook||https://www.facebook.com/LaCourAngers ;oui;Chaise haute / Réhausseur,Climatisation,Plats à emporter,Service en terrasse,Table à langer,WiFi;Anglais,Espagnol,Français;"01/01/2023||31/12/2023||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||02:00||||||12:00||02:00||||||11:00||02:00||||||11:00||23:00|||| ; 01/01/2024||27/05/2024||||||18:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||02:00||||||11:00||02:00||||||11:00||00:00|||| ; 30/07/2024||24/09/2024||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||02:00||||||11:00||02:00||||||11:00||00:00|||| ; 25/09/2024||31/12/2024||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||12:00||00:00||||||11:00||00:00||||||11:00||00:00||||";;Cartes bancaires,Espèces,Tickets Restaurant,Virement;47.47286, -0.55313;Maine-et-Loire
La Courbe restaurant;Restaurant;Cuisine traditionnelle;672 route de Coemont;72800;LE LUDE;72176;47.673639;0.110207;02 43 94 88 75;info@domainedelacourbe.com;http://www.domainedelacourbe.com;;non;Séminaire,Service en terrasse,WiFi;Anglais,Français;01/01/2024||24/12/2024||||dimanche et lundi||||||||||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||19:00||21:00||||||||;"Menu adulte soir et week-end||27,00||90,00|| ; Menu enfant||9,50||||";Cartes bancaires,Chèques Vacances,Espèces;47.673639, 0.110207;Sarthe
La Drain'guette;Food Truck;Guinguette;Chemin vert, Notre Dame du Marillais;49410;MAUGES-SUR-LOIRE;49244;47.3601479;-1.03738;;aurelien.perdriau@laposte.net;;Facebook||https://www.facebook.com/drainguette/?locale=fr_FR ;oui;;Tout;"28/04/2024||30/06/2024||||||||||||||||||||||||||||||||||||||17:00||23:00||||||14:00||23:00||||||12:00||21:00|||| ; 28/04/2024||13/09/2024||||||16:00||22:00||||||||||||||16:00||22:00||||||16:00||22:00||||||16:00||23:30||||||12:00||23:30||||||12:00||21:30||||";;Chèques bancaires et postaux,Espèces;47.3601479, -1.03738;Maine-et-Loire
La Dérive;Restaurant;Crêperie;7 quai de la Petite Chambre;44490;LE CROISIC;44049;47.29439;-2.51098;02 40 23 17 13;laderivesurlequai@orange.fr;;;oui;Service en terrasse;Anglais;||||||||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30||12:00||14:30||19:00||21:30;;Tout;47.29439, -2.51098;Loire-Atlantique
La Fabrique Maison Luçon;Général;Coffee-shop;42 rue Saint-Jean;49400;SAUMUR;49328;47.26018;-0.077119;02 41 03 32 20;lafabrique.godet.lucon@gmail.com;https://lafabrique-godet-lucon.fr;Facebook||https://www.facebook.com/La-Fabrique-Godet-Lu%C3%A7on-2099679546933437/;non;Livraison à domicile,Service en terrasse;Anglais,Français;"02/01/2024||30/06/2024||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2024||01/09/2024||Pour connaitre le détail, contacter l'établissement.|||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 02/09/2024||31/12/2024||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;Cartes bancaires;47.26018, -0.077119;Maine-et-Loire
